trade_id,symbol,direction,signal_type,strength,entry_price,entry_date,stop_loss,target,position_size,shares,status,exit_price,exit_date,pnl_pct,pnl_amount,exit_reason,trailing_stop
039bf7cf,MUTHOOTFIN,bearish,double_top,10,2964.7,2026-06-09,3053.64,2816.46,29647.0,10,closed,2964.7,2026-06-15,0.0,0.0,trailing_stop,2964.7
7de5ce21,BRITANNIA,bearish,double_top,10,5078.5,2026-06-09,5230.86,4824.57,25392.5,5,closed,5195.0,2026-06-22,-2.29,-581.49,time_exit,5230.86
3e23124d,GLAXO,bearish,double_top,10,2183.8,2026-06-09,2249.31,2074.61,28389.4,13,closed,2166.3,2026-06-17,0.8,227.12,trailing_stop,2166.3
5bc05a29,WIPRO,bearish,gap_down,9,198.37,2026-06-09,204.32,188.45,29953.87,151,closed,181.67,2026-06-10,8.42,2522.12,target_hit,187.12
9fe6de95,APOLLOHOSP,bearish,macd_divergence,7,8524.0,2026-06-10,8779.72,8097.8,25572.0,3,closed,8489.5,2026-06-22,0.4,102.29,time_exit,8524.0
fa54ebd6,WIPRO,bearish,double_top,10,178.93,2026-06-11,184.3,169.98,29881.31,167,closed,180.8,2026-06-22,-1.05,-313.75,time_exit,184.3
339cddce,ICICIBANK,bullish,macd_divergence,8,1293.3,2026-06-11,1254.5,1357.96,29745.9,23,closed,1346.5,2026-06-22,4.11,1222.56,time_exit,1306.11
628505ae,KOTHARIPRO,bearish,double_top,10,68.5,2026-06-15,70.56,65.08,29934.5,437,closed,70.56,2026-06-22,-3.01,-901.03,stop_loss,70.56
5277a1d2,ASHOKLEY,bullish,gap_up,10,157.7,2026-06-17,152.97,165.59,29963.0,190,closed,164.35,2026-07-06,4.22,1264.44,time_exit,159.42
d1b868f2,NATIONALUM,bearish,double_top,9,348.55,2026-06-25,359.01,331.12,29975.3,86,closed,347.6,2026-07-06,0.27,80.93,time_exit,359.01
c2a4d11e,HDFCBANK,bullish,macd_divergence,8,793.2,2026-06-25,769.4,832.86,29348.4,37,closed,801.05,2026-07-06,0.99,290.55,time_exit,769.4
63635c49,WIPRO,bearish,double_top,9,174.48,2026-06-25,179.71,165.76,29836.08,171,closed,176.08,2026-07-06,-0.92,-274.49,time_exit,179.71
7a7824de,KALYANKJIL,bearish,gap_down,10,354.75,2026-07-08,365.39,337.01,29799.0,84,closed,365.39,2026-07-10,-3.0,-893.97,stop_loss,365.39
